rowid,group_id,value_type,key,value
1,7,5,mofDims,1
2,15,5,mofText,1
3,15,5,mofDims,1
4,19,5,mofText,1
5,19,5,mofDims,1
6,27,5,Hidden,1
7,27,5,@changed,1
8,28,5,mofText,1
9,28,5,mofDims,1
10,36,5,mofText,1
11,36,5,mofDims,1
12,40,5,mofText,1
13,40,5,mofDims,1
14,44,5,mofText,1
15,44,5,mofDims,1
16,47,5,mofText,1
17,47,5,mofDims,1
18,49,5,mofText,1
19,50,5,mofText,1
20,50,5,mofDims,1
21,52,5,Hidden,1
22,54,5,mofText,1
23,56,5,mofText,1
